Playlist Name,Song,Artist,Full Artist,Album
Pinkbull + Akshita,Tujh Mein Rab Dikhta Hai,Salim–Sulaiman,"Salim–Sulaiman, Roop Kumar Rathod, Jaideep Sahni",Rab Ne Bana Di Jodi
Pinkbull + Akshita,Sahiba,Jasleen Royal,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba
Pinkbull + Akshita,Dil Chahta Hai,Shankar Mahadevan,Shankar Mahadevan,Dil Chahta Hai
Pinkbull + Akshita,Finding Her,Kushagra,"Kushagra, Bharath, Saaheal",Finding Her
Pinkbull + Akshita,Capital Letters,Hailee Steinfeld,"Hailee Steinfeld, BloodPop®","Capital Letters [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]"
Pinkbull + Akshita,Tujhe Bhula Diya,Vishal-Shekhar,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani
Pinkbull + Akshita,Pray For Me,The Weeknd,"The Weeknd, Kendrick Lamar",The Highlights
Hiyasha + Akshita,Tere Binaa,Mustafa Zahid,Mustafa Zahid,Heropanti
Hiyasha + Akshita,Mere Bina,Pritam,"Pritam, Nikhil D'Souza",Crook (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Ishq Hai,Anurag Saikia,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Mismatched: Season 3 (Soundtrack from the Netflix Series)
Hiyasha + Akshita,Thodi Der,Farhan Saeed,"Farhan Saeed, Shreya Ghoshal, Kumaar",Best Of Shreya Ghoshal
Hiyasha + Akshita,Mast Magan,Arijit Singh,"Arijit Singh, Chinmayi",Love Dose Arijit Singh
Hiyasha + Akshita,Dooron Dooron,Paresh Pahuja,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",Dooron Dooron
Hiyasha + Akshita,Jatt Ludhiyane Da,Vishal-Shekhar,"Vishal-Shekhar, Payal Dev, Vishal Dadlani",Student of the Year 2 (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Raanjhanaa,A.R. Rahman,"A.R. Rahman, Jaswinder Singh, Shiraz Uppal",Raanjhanaa (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Jeena Jeena,Sachin-Jigar,"Sachin-Jigar, Atif Aslam",Badlapur (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Sheesha,Mitta Ror,"Mitta Ror, Swara Verma",Sheesha (Aakhya Mai Aakh Ghali Jo Bairan)
Hiyasha + Akshita,Qubool,Vishal Mishra,"Vishal Mishra, Armaan Khan, Kaushal Kishore","Qubool (From ""Haq"")"
Hiyasha + Akshita,Baarish,Shashaa Tirupati,"Shashaa Tirupati, Ash King",Valentines Special
Hiyasha + Akshita,Main Rahoon Ya Na Rahoon,Amaal Mallik,"Amaal Mallik, Armaan Malik, Rashmi Virag",Main Rahoon Ya Na Rahoon
Hiyasha + Akshita,Abhi Abhi,KK,KK,Teri Yaadon Mein - K.K.
Hiyasha + Akshita,Mera Mann Kehne Laga,Falak Shabbir,Falak Shabbir,Latest Songs Of Ayushmann Khurrana
Hiyasha + Akshita,Marjaawaan,Gurnazar,"Gurnazar, Asees Kaur",Marjaawaan - BellBottom
Hiyasha + Akshita,Tere Aas Paas Din Saara,Gaurav Chatterji,"Gaurav Chatterji, Aasa Singh, Hansika Pareek, Pratik Gangavane, Hrishi Giridhar","Tere Aas Paas Din Saara (From ""Gutar Gu Season 3"", Reprised)"
Hiyasha + Akshita,Zulfein,Mehul Mahesh,"Mehul Mahesh, Dj AYnik",Zulfein
Hiyasha + Akshita,Tu Hai Meri,Sachet-Parampara,"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Kausar Munir","Tu Hai Meri (From ""Sunny Sanskari Ki Tulsi Kumari"")"
Hiyasha + Akshita,Kithe Reh Gaya,Neeti Mohan,"Neeti Mohan, Abhijit Vaghani",Kithe Reh Gaya
Hiyasha + Akshita,Finding Her,Kushagra,"Kushagra, Bharath, Saaheal",Finding Her
Hiyasha + Akshita,Sahiba,Jasleen Royal,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba
Hiyasha + Akshita,In Dino,Pritam,"Pritam, Soham, Sayeed Quadri",Life in a Metro (Original Motion Picture Soundtrack [Deluxe Edition])
Hiyasha + Akshita,Ishq,Faheem Abdullah,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Lost;Found
Hiyasha + Akshita,Rabba,Mohit Chauhan,Mohit Chauhan,Heropanti
Hiyasha + Akshita,Aa Zara,Sunidhi Chauhan,"Sunidhi Chauhan, Sangeet & Siddharth, Kumaar",Murder 2
Hiyasha + Akshita,O Rangrez,Shankar-Ehsaan-Loy,"Shankar-Ehsaan-Loy, Shreya Ghoshal, Javed Bashir, Yusuf Mohammed, Vajid Ali",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Jaan 'Nisaar,Amit Trivedi,"Amit Trivedi, Arijit Singh",Kedarnath (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Vaaroon,Anand Bhaskar,"Anand Bhaskar, Romy, Ginny Diwan",Mirzapur
Hiyasha + Akshita,Meri Kahani,Atif Aslam,Atif Aslam,Meri Kahani
Hiyasha + Akshita,Saathiya Tune Kya Kiya,S. P. Balasubrahmanyam,"S. P. Balasubrahmanyam, K. S. Chithra",Love (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Channa Ve,Mansheel Gujral,"Mansheel Gujral, Akhil Sachdeva","Channa Ve (From ""Bhoot - Part One: The Haunted Ship"" / Original Motion Picture Soundtrack)"
Hiyasha + Akshita,Ishq Bulaava,Vishal-Shekhar,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack)
Hiyasha + Akshita,Bandook Meri Laila,Ash King,"Ash King, Jigar Saraiya, Sachin-Jigar, Raftaar, Sidharth Malhotra","Bandook Meri Laila (From ""A Gentleman"")"
Hiyasha + Akshita,Sab Tera,Armaan Malik,"Armaan Malik, Shraddha Kapoor",Bollywood Romantic Songs With Armaan Malik
Hiyasha + Akshita,Dil To Bachcha Hai,Rahat Fateh Ali Khan,Rahat Fateh Ali Khan,Soulful Songs Of Rahat Fateh Ali Khan
Hiyasha + Akshita,Tu Banja Gali Benaras Ki,Asees Kaur,Asees Kaur,The Asees Kaur Collection
Hiyasha + Akshita,Tu Hi Tu,Mohammed Irfan,"Mohammed Irfan, Himesh Reshammiya, Mayur Puri",Kick
Hiyasha + Akshita,Ratiyaan,Hansika Pareek,"Hansika Pareek, Sagnik Kolay, Soham Majumdar",Ratiyaan
Hiyasha + Akshita,Kinna Sona,Sunil Kamath,"Sunil Kamath, Mithoon, Amitabh Varma",Bhaag Johnny
Hiyasha + Akshita,With You,AP Dhillon,AP Dhillon,With You
Hiyasha + Akshita,Co2,Prateek Kuhad,Prateek Kuhad,The Way That Lovers Do
Hiyasha + Akshita,Softly,Karan Aujla,"Karan Aujla, Ikky",Making Memories
Hiyasha + Akshita,Na Ja,Pav Dharia,Pav Dharia,Na Ja
Hiyasha + Akshita,Ishqa Ve,Zeeshan Ali,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",Ishqa Ve
Hiyasha + Akshita,Khat,Navjot Ahuja,Navjot Ahuja,Khat
Hiyasha + Akshita,Kun Faya Kun,A.R. Rahman,"A.R. Rahman, Javed Ali, Mohit Chauhan",Rockstar
Hiyasha + Akshita,Mann Mera,Gajendra Verma,Gajendra Verma,Mann Mera (Original Version)
Hiyasha + Akshita,STAY,The Kid LAROI,"The Kid LAROI, Justin Bieber",F*CK LOVE 3+: OVER YOU
Hiyasha + Akshita,Kiss Me More,Doja Cat,"Doja Cat, SZA",Planet Her
Harsh + Akshita,Khat,Navjot Ahuja,Navjot Ahuja,Khat
Harsh + Akshita,Sheesha,Mitta Ror,"Mitta Ror, Swara Verma",Sheesha (Aakhya Mai Aakh Ghali Jo Bairan)
Harsh + Akshita,sun saawariya,Accha Insaan,"Accha Insaan, AtharvaMusic, Yaani Karnawat",sun saawariya
Harsh + Akshita,Zulfein,Mehul Mahesh,"Mehul Mahesh, Dj AYnik",Zulfein
Harsh + Akshita,Sanam Re,Mithoon,"Mithoon, Arijit Singh",Sanam Re
Harsh + Akshita,Saiyaara,Sohail Sen,"Sohail Sen, Mohit Chauhan, Tarannum Malik Jain, Kausar Munir",Ek Tha Tiger
Harsh + Akshita,Saiyaara Reprise,Tanishk Bagchi,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Shreya Ghoshal, Irshad Kamil",Saiyaara
Harsh + Akshita,Tu Jaane Na,Pritam,"Pritam, Atif Aslam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack)
Harsh + Akshita,Ishqa Ve,Zeeshan Ali,"Zeeshan Ali, Yuvraj Tung, Sandeep Aulakh, Honey Dhillon",Ishqa Ve
Harsh + Akshita,Kithe Reh Gaya,Neeti Mohan,"Neeti Mohan, Abhijit Vaghani",Kithe Reh Gaya
Harsh + Akshita,Aashiqana,Chaar Diwaari,"Chaar Diwaari, Indian Ocean, gini",Parvana
Harsh + Akshita,Mann Mera,Gajendra Verma,Gajendra Verma,Mann Mera (Original Version)
Harsh + Akshita,Rakhlo Tum Chupaake,Arpit Bala,"Arpit Bala, Adil",Keychain Laalu
Harsh + Akshita,Dalli,Bhaskar,"Bhaskar, DL91 Era, Encore ABJ, RiJ",DALLI
Harsh + Akshita,Dooron Dooron,Paresh Pahuja,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",Dooron Dooron
Harsh + Akshita,O Soneya,rohh,"rohh, shaukand",O Soneya
Harsh + Akshita,Chaandaniya,Mohan Kannan,"Mohan Kannan, Yashita Sharma, Shankar-Ehsaan-Loy, Amitabh Bhattacharya",2 States
Harsh + Akshita,Aahatein,Samyak Prasana,Samyak Prasana,Aahatein
Harsh + Akshita,Mera Mann Kehne Laga,Falak Shabbir,Falak Shabbir,Latest Songs Of Ayushmann Khurrana
Harsh + Akshita,Voh Dekhnay Mein,Ali Zafar,Ali Zafar,"London, Paris, New York (Original Motion Picture Soundtrack)"
Harsh + Akshita,Co2,Prateek Kuhad,Prateek Kuhad,The Way That Lovers Do
Harsh + Akshita,Ghar Aa Maahi,Ana Rehman,"Ana Rehman, Nikhita Gandhi, Shubham Shirule, Ankkit Singh, Suvarna Tiwari",Bandish Bandits Season 2 (Original Series Soundtrack)
Harsh + Akshita,Finding Her,Kushagra,"Kushagra, Bharath, Saaheal",Finding Her
Harsh + Akshita,Rangi Saari,Kavita Seth,"Kavita Seth, Kanishk Seth",Rangi Saari
Harsh + Akshita,Tum Ho Toh,Vishal Mishra,"Vishal Mishra, Hansika Pareek, Raj Shekhar","Tum Ho Toh (From ""Saiyaara"")"
Harsh + Akshita,Dhun,Mithoon,"Mithoon, Arijit Singh","Dhun (From ""Saiyaara"")"
Harsh + Akshita,Barbaad,The Rish,"The Rish, Jubin Nautiyal","Barbaad (From ""Saiyaara"")"
Harsh + Akshita,Man Chala,Saahel,Saahel,Man Chala
Harsh + Akshita,Meri Kahani,Atif Aslam,Atif Aslam,Meri Kahani
Harsh + Akshita,Baamulaiza,Mika Singh,"Mika Singh, Dominique Cerejo, Style Bhai",De Dana Dan (Original Motion Picture Soundtrack)
Harsh + Akshita,Dil To Bachcha Hai,Rahat Fateh Ali Khan,Rahat Fateh Ali Khan,Soulful Songs Of Rahat Fateh Ali Khan
Harsh + Akshita,Tu Kyun Na Mujhe Dekhti?,Chaar Diwaari,Chaar Diwaari,Parvana
Harsh + Akshita,Thodi Der,Farhan Saeed,"Farhan Saeed, Shreya Ghoshal, Kumaar",Best Of Shreya Ghoshal
Harsh + Akshita,Phir Se Ud Chala,Mohit Chauhan,Mohit Chauhan,Rockstar
Harsh + Akshita,Lae Dooba,Sunidhi Chauhan,"Sunidhi Chauhan, Manoj Muntashir",Best Bollywood Female Voices
Harsh + Akshita,Abhi Mujh Mein Kahin,Ajay-Atul,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack)
Harsh + Akshita,Bandook Meri Laila,Ash King,"Ash King, Jigar Saraiya, Sachin-Jigar, Raftaar, Sidharth Malhotra","Bandook Meri Laila (From ""A Gentleman"")"
Harsh + Akshita,Oh Girl You're Mine .,Tarun Sagar,"Tarun Sagar, Alyssa Mendonsa, Loy Mendonsa",Housefull
Harsh + Akshita,Jatt Ludhiyane Da,Vishal-Shekhar,"Vishal-Shekhar, Payal Dev, Vishal Dadlani",Student of the Year 2 (Original Motion Picture Soundtrack)
Harsh + Akshita,Papa Toh Band Bajaye,Neeraj Shridhar,Neeraj Shridhar,Housefull 2
Harsh + Akshita,Ishq,Faheem Abdullah,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Lost;Found
Harsh + Akshita,Tere Bin,Rabbi Shergill,Rabbi Shergill,Rabbi
Harsh + Akshita,Sahiba,Jasleen Royal,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba
Harsh + Akshita,Such Keh Raha Hai,KK,KK,Rehnaa Hai Terre Dil Mein
Harsh + Akshita,Counting Stars,OneRepublic,OneRepublic,Native
Harsh + Akshita,Feel Good Inc.,Gorillaz,"Gorillaz, De La Soul",Demon Days
Harsh + Akshita,Closer,The Chainsmokers,"The Chainsmokers, Halsey",Closer
Harsh + Akshita,Creep,Radiohead,Radiohead,Pablo Honey
Harsh + Akshita,Abhi Abhi,KK,KK,Teri Yaadon Mein - K.K.
Harsh + Akshita,Zinda,Amit Trivedi,Amit Trivedi,Lootera
friendss,Hai Junoon,Pritam,"Pritam, KK, Sandeep Shrivastava",New York
friendss,Atrangi Yaari,Rochak Kohli,"Rochak Kohli, Amitabh Bachchan, Farhan Akhtar",Atrangi Yaari
"Doraemon Theme Song (From ""Doraemon"")",Doraemon Theme Song,Moisés Nieto,Moisés Nieto,"Piano Fables, Vol. 1"
Remember,Remember,Becky Hill,"Becky Hill, David Guetta",Remember
Remember,You Broke Me First,Conor Maynard,Conor Maynard,You Broke Me First
Remember,I Don't Miss You,JP Saxe,JP Saxe,I Don't Miss You
Remember,Lover,Plot Twist,"Plot Twist, Rose & Kennedy",Lover
Remember,Voices,KSI,"KSI, Oliver Tree",Voices (feat. Oliver Tree)
Remember,Nothin' on Me,Leah Marie Perez,Leah Marie Perez,Nothin' on Me
Remember,It Ain't Me,Kygo,"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez)
Remember,Memories,Maroon 5,Maroon 5,JORDI (Deluxe)
Remember,Strawberries & Cigarettes,Troye Sivan,Troye Sivan,Strawberries & Cigarettes
Remember,I Don't Know Why,NOTD,"NOTD, Astrid S",I Don't Know Why
Restart 🌈,Love You Zindagi,Amit Trivedi,"Amit Trivedi, Jasleen Royal, Kausar Munir",Dear Zindagi (Original Motion Picture Soundtrack)
Restart 🌈,Jiya Re,A.R. Rahman,"A.R. Rahman, Neeti Mohan, Gulzar",Jab Tak Hai Jaan
Restart 🌈,Tera Saath Ho,Guru Randhawa,"Guru Randhawa, Tanishk Bagchi, Zahrah S Khan",Tera Saath Ho
Restart 🌈,Hum Dum,Ankit Tiwari,Ankit Tiwari,Shiddat
Restart 🌈,Apna Har Din,Pritam,"Pritam, Shaan, Anushka Manchanda",Golmaal 3
Restart 🌈,Fikar Not,Pritam,"Pritam, Nakash Aziz, Dev Negi, Amit Mishra, Amitabh Bhattacharya, Sreerama Chandra, Antara Mitra","Fikar Not (From ""Chhichhore"")"
Restart 🌈,Ratta Maar,Vishal-Shekhar,"Vishal-Shekhar, Shefali Alvares, Vishal Dadlani",Student of the Year (Original Motion Picture Soundtrack)
Restart 🌈,Kudi Nu Nachne De,Vishal Dadlani,"Vishal Dadlani, Sachin-Jigar","Kudi Nu Nachne De (From ""Angrezi Medium"")"
Restart 🌈,Just Go to Hell Dil,Amit Trivedi,"Amit Trivedi, Sunidhi Chauhan, Kausar Munir",Dear Zindagi (Original Motion Picture Soundtrack)
Restart 🌈,O Gujariya,Shefali Alvares,"Shefali Alvares, Nikhil D'Souza, Amit Trivedi",Queen
Restart 🌈,Dil Besabar,Iqlipse Nova,"Iqlipse Nova, Adeetiiya",Dil Besabar
Restart 🌈,Khaabon Ke Parinday,Alyssa Mendonsa,"Alyssa Mendonsa, Mohit Chauhan",Zindagi Na Milegi Dobara
Restart 🌈,Hum Nahi Sudhrenge,Armaan Malik,Armaan Malik,Golmaal Again!!!
Restart 🌈,Matargashti,Mohit Chauhan,Mohit Chauhan,Tamasha
Restart 🌈,Bye,Aditya Bhardwaj,Aditya Bhardwaj,Bye
Restart 🌈,Locha,Benny Dayal,"Benny Dayal, Shankar-Ehsaan-Loy, Amitabh Bhattacharya",2 States
Restart 🌈,Chittiyaan Kalaiyaan,Meet Bros Anjjan,"Meet Bros Anjjan, Kanika Kapoor",Roy (Original Motion Picture Soundtrack)
Restart 🌈,Badal Pe Paon Hai,Salim–Sulaiman,"Salim–Sulaiman, Hema Sardesai, Jaideep Sahni",Chak De India
Restart 🌈,Hone Do Jo Hota Hai,OAFF,"OAFF, Savera, Javed Akhtar, Lothika","Hone Do Jo Hota Hai (From ""Kho Gaye Hum Kahan"")"
Restart 🌈,Hone Do Jo Hota Hai,OAFF,"OAFF, Savera, Javed Akhtar, Lothika",Kho Gaye Hum Kahan (Original Motion Picture Soundtrack)
Restart 🌈,Patakha Guddi,Sultana,"Sultana, Jyoti Nooran",Highway
Restart 🌈,Ale,Pritam,"Pritam, Neeraj Shridhar, Antara Mitra",Golmaal 3
Restart 🌈,I Hate Luv Storys,Vishal-Shekhar,"Vishal-Shekhar, Vishal Dadlani",I Hate Luv Storys (Original Motion Picture Soundtrack)
Restart 🌈,I’m Done.,Maan Panu,Maan Panu,I-Popstar: Vol. 1 | Episodes 1–3
Restart 🌈,Nachdi Phira,Amit Trivedi,"Amit Trivedi, Meghna Mishra",Secret Superstar (Original Motion Picture Soundtrack)
Yoo,Pungi,Pritam,"Pritam, Mika Singh, Amitabh Bhattacharya, Nakash Aziz, Javed Jaffrey",Agent Vinod
Yoo,Chitta Ve,Amit Trivedi,"Amit Trivedi, Shellee, Babu Haabi, Bhanu Prtap, Shahid Mallya",Udta Punjab (Original Motion Picture Soundtrack)
Yoo,Ud,Amit Trivedi,"Amit Trivedi, Vishal Dadlani",Udta Punjab (Original Motion Picture Soundtrack)
Yoo,Ikk Kudi,Amit Trivedi,"Amit Trivedi, Alia Bhatt, Diljit Dosanjh",Udta Punjab (Original Motion Picture Soundtrack)
Yoo,London Thumakda,Labh Janjua,"Labh Janjua, Sonu Kakkar, Neha Kakkar",Queen
Yoo,Gallan Goodiyaan,Yashita Sharma,"Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan, Sukhwinder Singh",Dil Dhadakne Do
Yoo,The Disco Song,Vishal-Shekhar,"Vishal-Shekhar, Benny Dayal, Sunidhi Chauhan, Nazia Hassan",Student of the Year (Original Motion Picture Soundtrack)
Yoo,Abrar’s Entry | Jamal Kudu,Harshavardhan Rameshwar,"Harshavardhan Rameshwar, Choir","Abrar’s Entry | Jamal Kudu (From ""ANIMAL"")"
Yoo,Beech Beech Mein,Pritam,"Pritam, Arijit Singh, Shalmali Kholgade, Shefali Alvares",Jab Harry Met Sejal (Original Motion Picture Soundtrack)
Yoo,Balam Pichkari,Pritam,"Pritam, Vishal Dadlani, Shalmali Kholgade, Amitabh Bhattacharya",Yeh Jawaani Hai Deewani
Yoo,Oh Ho Ho Ho,Sukhbir,"Sukhbir, Ikka",Hindi Medium
Yoo,Coca Cola,Tony Kakkar,"Tony Kakkar, Neha Kakkar, Young Desi, Tanishk Bagchi","Coca Cola (From ""Luka Chuppi"")"
Yoo,Kukkad,Vishal-Shekhar,"Vishal-Shekhar, Shahid Mallya, Nisha Mascarenhas, Marianne D'Cruz Aiman",Student of the Year (Original Motion Picture Soundtrack)
Yoo,Make Some Noise For The Desi Boyz,Pritam,"Pritam, KK, Bob",Desi Boyz
Yoo,Dreamum Wakeupum,Sowmya Raoh,"Sowmya Raoh, Amit Trivedi, Amitabh Bhattacharya",Aiyyaa
Yoo,Kamariya,Aastha Gill,"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, Divya Kumar",Stree
Yoo,Drama Queen,Vishal-Shekhar,"Vishal-Shekhar, Shreya Ghoshal, Vishal Dadlani",Hasee Toh Phasee (Original Motion Picture Soundtrack)
Yoo,Gulabi Sharara,Inder Arya,Inder Arya,Gulabi Sharara
Yoo,Party On My Mind,Pritam,"Pritam, KK, Shefali Alvares, Yo Yo Honey Singh, Prashant Ingole",Race 2 (Original Motion Picture Soundtrack)
Yoo,Premika Ne Pyar Se,S. P. Balasubrahmanyam,"S. P. Balasubrahmanyam, Udit Narayan",Hum Se Hai Muqabala - Kadalan (With Jhankar Beats) [Original Motion Picture Soundtrack]
Yoo,"Premika [From ""Dilwale""]",Pritam,"Pritam, Benny Dayal, Kanika Kapoor",Dilwale - Celebration Party Mixes
Yoo,Brown Rang,Yo Yo Honey Singh,Yo Yo Honey Singh,International Villager
Yoo,Love Dose,Yo Yo Honey Singh,Yo Yo Honey Singh,Desi Kalakaar
Yoo,Angreji Beat,Yo Yo Honey Singh,"Yo Yo Honey Singh, Gippy Grewal",International Villager
Yoo,Kinni Kinni,Diljit Dosanjh,"Diljit Dosanjh, thiarajxtt",Ghost
Yoo,Choli Ke Peeche,Alka Yagnik,"Alka Yagnik, Ila Arun",Khal Nayak (Original Motion Picture Soundtrack)
Yoo,Akhiyaan Gulaab,Mitraz,Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")"
Yoo,Manike,Yohani,"Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag, Surya Ragunaathan","Manike (From ""Thank God"")"
Yoo,Maharani,Karun,"Karun, Lambo Drive, Arpit Bala, GHILDIYAL",Maharani
Yoo,Saj Ke Sawar Ke,Khesari Lal Yadav,"Khesari Lal Yadav, Priyanka Singh",Muqaddar
Yoo,Subha Hone Na De,Pritam,"Pritam, Mika Singh, Shefali Alvares",Desi Boyz
Yoo,Make Some Noise For The Desi Boyz,KK,"KK, Bob",Pritam's Musical Journey
Yoo,Senorita,Farhan Akhtar,"Farhan Akhtar, Hrithik Roshan, Abhay Deol, Maria Del Mar Fernandez",Zindagi Na Milegi Dobara
Yoo,Heroine,R Jay Kang,"R Jay Kang, Neelkamal Singh, Arun Bihari",Heroine
Yoo,Saturday Saturday,Shaarib Toshi,"Shaarib Toshi, Badshah, Indeep Bakshi, Akriti Kakar",Saturday Saturday
Yoo,Tinku Jiya,Mamta Sharma,"Mamta Sharma, Javed Ali",Yamla Pagla Deewana
Yoo,Apne Lover Ko Dhokha Do,Chand Jee,"Chand Jee, Shilpi Raj",Apne Lover Ko Dhokha Do
Yoo,Lungi Dance,Yo Yo Honey Singh,Yo Yo Honey Singh,Lungi Dance
Yoo,O Saki Saki,Vishal-Shekhar,"Vishal-Shekhar, Neha Kakkar, Tulsi Kumar, B Praak",Batla House
Yoo,Tareefan,QARAN,"QARAN, Badshah",Veere Di Wedding (Original Motion Picture Soundtrack)
Yoo,Ghungroo,Vishal-Shekhar,"Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar",War
Yoo,She Move It Like,Badshah,Badshah,ONE (Original Never Ends)
Yoo,La La La,Neha Kakkar,"Neha Kakkar, Arjun Kanungo",La La La
Yoo,Hookah Bar,Himesh Reshammiya,"Himesh Reshammiya, Vineet Singh, Aaman Trikha",Khiladi 786
Yoo,Character Dheela 2.0,Pritam,"Pritam, Amitabh Bhattacharya, Neeraj Shridhar, Abhijit Vaghani, Ashish Pandit","Character Dheela 2.0 (From ""Shehzada"")"
Yoo,Lat Lag Gayee,Benny Dayal,"Benny Dayal, Shalmali Kholgade, Pritam",Race 2 (Original Motion Picture Soundtrack)
Yoo,Galat Baat Hai,Neeti Mohan,"Neeti Mohan, Javed Ali",Main Tera Hero
Yoo,Kar Gayi Chull,Badshah,"Badshah, Amaal Mallik, Fazilpuria, Sukriti Kakar, Neha Kakkar",Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack)
Yoo,Befikra,Meet Bros.,"Meet Bros., Aditi Singh Sharma, Natalie Ram, Thomson Andrews, Keshia Braganza, Gwen Dias, Ryan Dias, Kumaar",Befikra
Yoo,Buddhu Sa Mann,Amaal Mallik,"Amaal Mallik, Armaan Malik, Abhiruchi Chand",Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack)
Yoo,Locha,Benny Dayal,"Benny Dayal, Shankar-Ehsaan-Loy, Amitabh Bhattacharya",2 States
Yoo,Uff,Harshdeep Kaur,"Harshdeep Kaur, Benny Dayal, Vishal-Shekhar",Bang Bang (Original Motion Picture Soundtrack)
Yoo,Sau Tarah Ke,Pritam,"Pritam, Jonita Gandhi, Amit Mishra, Kumaar, Ashish Pandit",Dishoom
Yoo,Bang Bang,Benny Dayal,"Benny Dayal, Neeti Mohan, Vishal-Shekhar",Bang Bang (Original Motion Picture Soundtrack)
Yoo,The Breakup Song,Pritam,"Pritam, Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack)
Yoo,Dilliwaali Girlfriend,Pritam,"Pritam, Arijit Singh, Sunidhi Chauhan, Kumaar",Yeh Jawaani Hai Deewani
Yoo,Sau Aasmaan,Armaan Malik,"Armaan Malik, Neeti Mohan, Kumaar",Baar Baar Dekho (Original Motion Picture Soundtrack)
Yoo,Ek Main Aur Ekk Tu,Benny Dayal,"Benny Dayal, Anushka Manchanda, Amit Trivedi",Ek Main Aur Ekk Tu
Yoo,High Rated Gabru,Guru Randhawa,Guru Randhawa,"High Rated Gabru (From ""Nawabzaade"")"
Yoo,O Gujariya,Shefali Alvares,"Shefali Alvares, Nikhil D'Souza, Amit Trivedi",Queen
Yoo,One Two Three Four,Vishal-Shekhar,"Vishal-Shekhar, Vishal Dadlani, Hamsika Iyer",Chennai Express
Yoo,Dhating Naach,Pritam,"Pritam, Neha Kakkar, Nakash Aziz",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack)
Yoo,Ik Junoon,Vishal Dadlani,Vishal Dadlani,Zindagi Na Milegi Dobara
Yoo,Sheila Ki Jawani,Vishal-Shekhar,"Vishal-Shekhar, Sunidhi Chauhan, Vishal Dadlani",Tees Maar Khan
Yoo,Chammak Challo,Vishal-Shekhar,"Vishal-Shekhar, Akon, Hamsika Iyer, Vishal Dadlani, Niranjan Iyengar",Ra-One
Yoo,Tune Maari Entriyaan,Sohail Sen,"Sohail Sen, Vishal Dadlani, KK, Neeti Mohan, Bappi Lahiri, Irshad Kamil",Gunday
Yoo,Chikni Chameli,Ajay-Atul,"Ajay-Atul, Shreya Ghoshal",Agneepath (Original Motion Picture Soundtrack)
Yoo,Ainvayi Ainvayi,Salim–Sulaiman,"Salim–Sulaiman, Salim Merchant, Sunidhi Chauhan, Amitabh Bhattacharya",Band Baaja Baaraat
Yoo,Kajra Re,Shankar-Ehsaan-Loy,"Shankar-Ehsaan-Loy, Alisha Chinai, Shankar Mahadevan, Javed Ali, Gulzar",Bunty Aur Babli
Yoo,Jalebi Bai,Ritu Pathak,"Ritu Pathak, Gorisha Gogoi, Anand Raj Anand",Double Dhamaal
Yoo,Chokra Jawaan,Amit Trivedi,"Amit Trivedi, Vishal Dadlani, Sunidhi Chauhan, Habib Faisal",Ishaqzaade
Yoo,Tere Naal Nachna,Badshah,"Badshah, Sunanda Sharma","Tere Naal Nachna (From ""Nawabzaade"")"
