Playlist Name,Song,Artist,Full Artist,Album
Dhurandhar - All Songs 🔥,Champ,Vikram Sarkar,"Vikram Sarkar, THOUGHT",Champ
Dhurandhar - All Songs 🔥,Moves,Shubh,Shubh,Chapter IV
Dhurandhar - All Songs 🔥,License Ka Asla,Masoom Sharma,Masoom Sharma,Licence (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Didi,Shashwat Sachdev,"Shashwat Sachdev, Khaled, Sons of Yusuf, Nabil El Houri","Didi (Sher-E-Baloch) (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Ishq Jalakar,Shashwat Sachdev,"Shashwat Sachdev, Shahzad Ali, Subhadeep Das Chowdhury, Armaan Khan, Irshad Kamil, Roshan, Sahir Ludhianvi",Dhurandhar
Dhurandhar - All Songs 🔥,Shararat,Shashwat Sachdev,"Shashwat Sachdev, Madhubanti Bagchi, Jasmine Sandlas",Dhurandhar
Dhurandhar - All Songs 🔥,Gehra Hua,Shashwat Sachdev,"Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan",Dhurandhar
Dhurandhar - All Songs 🔥,The Last Letter,Maan Panu,"Maan Panu, Mazaak",The Last Letter
Dhurandhar - All Songs 🔥,Espresso,Sabrina Carpenter,Sabrina Carpenter,Espresso
Dhurandhar - All Songs 🔥,Harleys In Hawaii,Katy Perry,Katy Perry,Harleys In Hawaii
Dhurandhar - All Songs 🔥,Dracula,Tame Impala,"Tame Impala, JENNIE",Dracula (Remix)
Dhurandhar - All Songs 🔥,Babydoll,Dominic Fike,Dominic Fike,"Don't Forget About Me, Demos"
Dhurandhar - All Songs 🔥,Die With A Smile,Lady Gaga,"Lady Gaga, Bruno Mars",Die With A Smile
Dhurandhar - All Songs 🔥,Teri Ni Kararan,Shashwat Sachdev,"Shashwat Sachdev, Diljit Dosanjh, Lal Chand Yamla Jatt",Dhurandhar
Dhurandhar - All Songs 🔥,Run Down The City,Shashwat Sachdev,"Shashwat Sachdev, Reble, Asha Bhosle, R. D. Burman, Majrooh Sultanpuri",Dhurandhar
Dhurandhar - All Songs 🔥,Thangapoovey,Anirudh Ravichander,"Anirudh Ravichander, Ravi G, Vivek",Madharaasi (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Move,Shashwat Sachdev,"Shashwat Sachdev, Reble, Sonu Nigam, Roshan, Sahir Ludhianvi",Dhurandhar
Dhurandhar - All Songs 🔥,Ez,Shashwat Sachdev,"Shashwat Sachdev, Diljit Dosanjh, Hanumankind, Raj Ranjodh",Dhurandhar
Dhurandhar - All Songs 🔥,Lutt Le Gaya,Shashwat Sachdev,"Shashwat Sachdev, Simran Choudhary",Dhurandhar
Dhurandhar - All Songs 🔥,Sheesha,Mitta Ror,"Mitta Ror, Swara Verma",Sheesha (Aakhya Mai Aakh Ghali Jo Bairan)
Dhurandhar - All Songs 🔥,Gach Laage,Masoom Sharma,"Masoom Sharma, Rakhi Lochab, Sapna Chaudhary, KD DESIROCK",Licence (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Tateeree Phir Se,Badshah,"Badshah, Simran Jaglan, Hiten",Tateeree Phir Se
Dhurandhar - All Songs 🔥,I Think They Call This Love,Matthew Ifield,Matthew Ifield,I’ll Be Home For Christmas / I Think They Call This Love (Cover)
Dhurandhar - All Songs 🔥,Starboy,The Weeknd,"The Weeknd, Daft Punk",Starboy
Dhurandhar - All Songs 🔥,Apna Bana Le,Sachin-Jigar,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Bhediya (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Phir Bhi Tumko Chaahunga,Mithoon,"Mithoon, Manoj Muntashir, Arijit Singh, Shashaa Tirupati",Half Girlfriend (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Teri Meri Kahaani,Palak Muchhal,"Palak Muchhal, Manoj Yadav, Arijit Singh",Gabbar Is Back (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Lae Dooba,Sunidhi Chauhan,"Sunidhi Chauhan, Manoj Muntashir",Aiyaary (Original Motion Picture Soundtrack)
Dhurandhar - All Songs 🔥,Sailor Song,Gigi Perez,Gigi Perez,Sailor Song
Dhurandhar - All Songs 🔥,Moves,Shubh,Shubh,Chapter IV
Dhurandhar - All Songs 🔥,Naal Nachna,Shashwat Sachdev,"Shashwat Sachdev, Afsana Khan, Irshad Kamil, Reble",Dhurandhar
Dhurandhar - All Songs 🔥,Ramba Ho,Shashwat Sachdev,"Shashwat Sachdev, Madhubanti Bagchi, Bappi Lahiri, Indiwar",Dhurandhar
Dhurandhar - All Songs 🔥,Main Aur Tu,Shashwat Sachdev,"Shashwat Sachdev, Jasmine Sandlas, Reble","Main Aur Tu (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Dhurandhar The Revenge,Shashwat Sachdev,"Shashwat Sachdev, Bombay Rockers, Irshad Kamil, Khan Saab, Reble, Token, Jasmine Sandlas, Sudhir Yaduvanshi",Dhurandhar The Revenge
Dhurandhar - All Songs 🔥,Destiny,Shashwat Sachdev,"Shashwat Sachdev, Token, Vaibhav Gupta, Shahzad Ali",Dhurandhar The Revenge
Dhurandhar - All Songs 🔥,Vaari Jaavan,Shashwat Sachdev,"Shashwat Sachdev, Jyoti Nooran, Jasmine Sandlas, Reble","Vaari Jaavan (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Tere Ishq Ne,Shashwat Sachdev,"Shashwat Sachdev, Jyoti Nooran, Kumaar","Tere Ishq Ne (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Awara,Vilen,"Vilen, Himani Kapoor, GARVV",Awara
Dhurandhar - All Songs 🔥,Espresso,Sabrina Carpenter,Sabrina Carpenter,Espresso
Dhurandhar - All Songs 🔥,I Think They Call This Love,Matthew Ifield,Matthew Ifield,I’ll Be Home For Christmas / I Think They Call This Love (Cover)
Dhurandhar - All Songs 🔥,Raindance,Dave,"Dave, Tems",The Boy Who Played the Harp
Dhurandhar - All Songs 🔥,Sailor Song,Gigi Perez,Gigi Perez,Sailor Song
Dhurandhar - All Songs 🔥,Harleys In Hawaii,Katy Perry,Katy Perry,Harleys In Hawaii
Dhurandhar - All Songs 🔥,Rang De Lal,Shashwat Sachdev,"Shashwat Sachdev, Jasmine Sandlas, Afsana Khan, Amit Kumar, Sapna Mukherjee, Kalyanji-Anandji, Anand Bakshi, Reble","Rang De Lal (Oye Oye) (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Baby,Justin Bieber,"Justin Bieber, Ludacris",My World 2.0
Dhurandhar - All Songs 🔥,Beauty And A Beat,Justin Bieber,"Justin Bieber, Nicki Minaj",Believe
Dhurandhar - All Songs 🔥,Aakhri Ishq,Shashwat Sachdev,"Shashwat Sachdev, Jubin Nautiyal, Irshad Kamil","Aakhri Ishq (From ""Dhurandhar The Revenge"")"
Dhurandhar - All Songs 🔥,Hum Pyaar Karne Wale,Shashwat Sachdev,"Shashwat Sachdev, Anuradha Paudwal, Udit Narayan, Anand-Milind, Sameer Anjaan, Qveen Herby",Dhurandhar The Revenge
Dhurandhar - All Songs 🔥,Wild Ride,Shashwat Sachdev,"Shashwat Sachdev, Ellisar",Dhurandhar The Revenge
Blahh,Just A Dream,Kurt Hugo Schneider,"Kurt Hugo Schneider, Christina Grimmie, Sam Tsui",Just A Dream
Drust + Akshita,Zamaana Lage,Pritam,"Pritam, Arijit Singh, Shashwat Singh, Qaisar-Ul-Jafri, Sandeep Shrivastava",Metro ... In Dino (Side A)
Drust + Akshita,Khat,Navjot Ahuja,Navjot Ahuja,Khat
Drust + Akshita,Pari Pari,Babul Supriyo,Babul Supriyo,Hungama (Original Motion Picture Soundtrack)
Drust + Akshita,Baawra,Kushagra,"Kushagra, Tanishka Bahl, Akash Rajput",Baawra
Drust + Akshita,Story of My Life,One Direction,One Direction,Midnight Memories (Deluxe)
Drust + Akshita,We Don't Talk Anymore,Charlie Puth,"Charlie Puth, Selena Gomez",Nine Track Mind (Special Edition)
Drust + Akshita,I Want It That Way,Backstreet Boys,Backstreet Boys,Millennium
Drust + Akshita,JUMP,BLACKPINK,BLACKPINK,JUMP
Drust + Akshita,Tum Ho Toh,Vishal Mishra,"Vishal Mishra, Hansika Pareek, Raj Shekhar","Tum Ho Toh (From ""Saiyaara"")"
Drust + Akshita,Dooron Dooron,Paresh Pahuja,"Paresh Pahuja, Shiv Tandan, Meghdeep Bose",Dooron Dooron
Drust + Akshita,Thodi Der,Farhan Saeed,"Farhan Saeed, Shreya Ghoshal, Kumaar",Best Of Shreya Ghoshal
Drust + Akshita,Khud Ko Tere,Mahalakshmi Iyer,"Mahalakshmi Iyer, Chirantan Bhatt, Shakeel Azmi",1920 Evil Returns
Drust + Akshita,Baarish,Shashaa Tirupati,"Shashaa Tirupati, Ash King",Valentines Special
Drust + Akshita,Agar Tu Hota,Ankit Tiwari,Ankit Tiwari,2016 Shining Star - Ankit Tiwari
Drust + Akshita,Sab Tera,Armaan Malik,"Armaan Malik, Shraddha Kapoor",Bollywood Romantic Songs With Armaan Malik
Drust + Akshita,Ishq Di Baajiyaan,Shankar-Ehsaan-Loy,"Shankar-Ehsaan-Loy, Diljit Dosanjh",Soorma (Original Motion Picture Soundtrack [Deluxe Edition])
Drust + Akshita,Meri Banogi Kya,Rito Riba,"Rito Riba, Rajat Nagpal",Meri Banogi Kya
Drust + Akshita,Abhi Abhi,KK,KK,Teri Yaadon Mein - K.K.
Drust + Akshita,Zulfein,Mehul Mahesh,"Mehul Mahesh, Dj AYnik",Zulfein
Drust + Akshita,Tu Mera Ghar,DAKU,DAKU,Tu Mera Ghar
Drust + Akshita,Tera Ban Jaunga,Akhil Sachdeva,"Akhil Sachdeva, Tulsi Kumar",Best Of Akhil Sachdeva
Drust + Akshita,Girl I Need You,Meet Bros.,"Meet Bros., Roach Killa, Khushboo Grewal, Arijit Singh",Baaghi
Drust + Akshita,Mere Bina,Pritam,"Pritam, Nikhil D'Souza",Crook (Original Motion Picture Soundtrack)
Drust + Akshita,Ranjha,Jasleen Royal,"Jasleen Royal, Anvita Dutt, Shraddha Sehgal, Prerna Arora, Ashwani Basoya",Shershaah (Original Motion Picture Soundtrack) [Deluxe Edition]
Drust + Akshita,Lae Dooba,Sunidhi Chauhan,"Sunidhi Chauhan, Manoj Muntashir",Best Bollywood Female Voices
Drust + Akshita,Deewane,Navaan Sandhu,"Navaan Sandhu, Bir, Daaku",House Navior
Drust + Akshita,Ishq Bulaava,Vishal-Shekhar,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack)
Drust + Akshita,Mere Rang Mein Rangne Wali,Sachin Gupta,"Sachin Gupta, S. P. Balasubrahmanyam",Study Lofi - Bollywood Beatz
Drust + Akshita,Night Changes,One Direction,One Direction,FOUR (Deluxe)
Drust + Akshita,How You Like That,BLACKPINK,BLACKPINK,THE ALBUM
Drust + Akshita,Stuck with U,Ariana Grande,"Ariana Grande, Justin Bieber",Stuck with U
Drust + Akshita,Love Is A Waste Of Time,Sonu Nigam,"Sonu Nigam, Shreya Ghoshal",Love Anthems - Sonu Nigam
Drust + Akshita,Attention,Charlie Puth,Charlie Puth,Voicenotes
